,Unnamed: 0,Lambert-X,Lambert-Y,Zone,Coord System,Coord Source,Field ID,Org ID,Area USDW Value,API Num,Serial Num,Well Name,Well Num,Well Status,Class,Class Type,USDW Value,Source Area USDW Value,Measured Depth,Upper Perf,Lower Perf,Well Serial Num,Latitude,Longitude
12926,865,1809518,769004,N,01,05,4589,4063,240,00000000000000,1105,GUY OAKS SWD,002,9.0,II,5,,,1350,1254,1300,1105,32.7793350977851,-93.119867407573
12927,865,1809518,769004,N,01,05,4589,4063,240,00000000000000,1105,GUY OAKS SWD,002,9.0,II,5,,,1350,1254,1300,1105,32.7793350977851,-93.119867407573
14813,956,1803624,776178,N,01,05,4589,B382,818,00000000000000,1203,HO NAC SU;LANGSTON-BAIRD 24-8,004,9.0,II,9-IW,0,,1332,1180,1252,1203,32.7989569947623,-93.1391801424326
14814,956,1803624,776178,N,01,05,4589,B382,818,00000000000000,1203,HO NAC SU;LANGSTON-BAIRD 24-8,004,9.0,II,9-IW,0,,1332,1180,1252,1203,32.7989569947623,-93.1391801424326
14815,956,1803624,776178,N,01,05,4589,B382,818,00000000000000,1203,HO NAC SU;LANGSTON-BAIRD 24-8,004,9.0,II,9-IW,0,,1332,1180,1252,1203,32.7989569947623,-93.1391801424326
14816,956,1803624,776178,N,01,05,4589,B382,818,00000000000000,1203,HO NAC SU;LANGSTON-BAIRD 24-8,004,9.0,II,9-IW,0,,1332,1180,1252,1203,32.7989569947623,-93.1391801424326
14817,956,1803624,776178,N,01,05,4589,B382,818,00000000000000,1203,HO NAC SU;LANGSTON-BAIRD 24-8,004,9.0,II,9-IW,0,,1332,1180,1252,1203,32.7989569947623,-93.1391801424326
14976,1015,1802581,776589,N,01,05,4589,B382,,00000000000000,1266,HO NAC SU;LOWENBERG 24-A WI,005,9.0,II,9-IW,0,,1385,1226,1360,1266,32.8000695524255,-93.1425820180158
14977,1015,1802581,776589,N,01,05,4589,B382,,00000000000000,1266,HO NAC SU;LOWENBERG 24-A WI,005,9.0,II,9-IW,0,,1385,1226,1360,1266,32.8000695524255,-93.1425820180158
14978,1015,1802581,776589,N,01,05,4589,B382,,00000000000000,1266,HO NAC SU;LOWENBERG 24-A WI,005,9.0,II,9-IW,0,,1385,1226,1360,1266,32.8000695524255,-93.1425820180158
14979,1015,1802581,776589,N,01,05,4589,B382,,00000000000000,1266,HO NAC SU;LOWENBERG 24-A WI,005,9.0,II,9-IW,0,,1385,1226,1360,1266,32.8000695524255,-93.1425820180158
14980,1015,1802581,776589,N,01,05,4589,B382,,00000000000000,1266,HO NAC SU;LOWENBERG 24-A WI,005,9.0,II,9-IW,0,,1385,1226,1360,1266,32.8000695524255,-93.1425820180158
14998,1373,1801248,775519,N,01,05,4589,B382,752,00000000000000,1685,HO NAC SU;JACKSON 24-10-A WI,010,9.0,II,9-IW,0,,1327,1170,1282,1685,32.7971070797618,-93.1468989078641
14999,1373,1801248,775519,N,01,05,4589,B382,752,00000000000000,1685,HO NAC SU;JACKSON 24-10-A WI,010,9.0,II,9-IW,0,,1327,1170,1282,1685,32.7971070797618,-93.1468989078641
15000,1373,1801248,775519,N,01,05,4589,B382,752,00000000000000,1685,HO NAC SU;JACKSON 24-10-A WI,010,9.0,II,9-IW,0,,1327,1170,1282,1685,32.7971070797618,-93.1468989078641
15001,1373,1801248,775519,N,01,05,4589,B382,752,00000000000000,1685,HO NAC SU;JACKSON 24-10-A WI,010,9.0,II,9-IW,0,,1327,1170,1282,1685,32.7971070797618,-93.1468989078641
15002,1373,1801248,775519,N,01,05,4589,B382,752,00000000000000,1685,HO NAC SU;JACKSON 24-10-A WI,010,9.0,II,9-IW,0,,1327,1170,1282,1685,32.7971070797618,-93.1468989078641
15003,1373,1801248,775519,N,01,05,4589,B382,752,00000000000000,1685,HO NAC SU;JACKSON 24-10-A WI,010,9.0,II,9-IW,0,,1327,1170,1282,1685,32.7971070797618,-93.1468989078641
15004,1373,1801248,775519,N,01,05,4589,B382,752,00000000000000,1685,HO NAC SU;JACKSON 24-10-A WI,010,9.0,II,9-IW,0,,1327,1170,1282,1685,32.7971070797618,-93.1468989078641
15005,1373,1801248,775519,N,01,05,4589,B382,752,00000000000000,1685,HO NAC SU;JACKSON 24-10-A WI,010,9.0,II,9-IW,0,,1327,1170,1282,1685,32.7971070797618,-93.1468989078641
15006,1373,1801248,775519,N,01,05,4589,B382,752,00000000000000,1685,HO NAC SU;JACKSON 24-10-A WI,010,9.0,II,9-IW,0,,1327,1170,1282,1685,32.7971070797618,-93.1468989078641
15007,1373,1801248,775519,N,01,05,4589,B382,752,00000000000000,1685,HO NAC SU;JACKSON 24-10-A WI,010,9.0,II,9-IW,0,,1327,1170,1282,1685,32.7971070797618,-93.1468989078641
14721,1398,1803072,774831,N,01,05,4589,B382,,00000000000000,1713,HO NAC SU;LANGSTON 24-11 WI,011,9.0,II,9-IW,0,,1220,1012,1120,1713,32.7952461050685,-93.14095044906071
14722,1398,1803072,774831,N,01,05,4589,B382,,00000000000000,1713,HO NAC SU;LANGSTON 24-11 WI,011,9.0,II,9-IW,0,,1220,1012,1120,1713,32.7952461050685,-93.14095044906071
13893,1889,1810601,776430,N,01,05,4589,B382,643,00000000000000,2309,HO NAC SU;WEST 20-4 WI,007,9.0,II,9-IW,0,,1375,1232,1260,2309,32.7997608256239,-93.1164814412619
13894,1889,1810601,776430,N,01,05,4589,B382,643,00000000000000,2309,HO NAC SU;WEST 20-4 WI,007,9.0,II,9-IW,0,,1375,1232,1260,2309,32.7997608256239,-93.1164814412619
13895,1889,1810601,776430,N,01,05,4589,B382,643,00000000000000,2309,HO NAC SU;WEST 20-4 WI,007,9.0,II,9-IW,0,,1375,1232,1260,2309,32.7997608256239,-93.1164814412619
13896,1889,1810601,776430,N,01,05,4589,B382,643,00000000000000,2309,HO NAC SU;WEST 20-4 WI,007,9.0,II,9-IW,0,,1375,1232,1260,2309,32.7997608256239,-93.1164814412619
13897,1889,1810601,776430,N,01,05,4589,B382,643,00000000000000,2309,HO NAC SU;WEST 20-4 WI,007,9.0,II,9-IW,0,,1375,1232,1260,2309,32.7997608256239,-93.1164814412619
14345,2872,1803529,772543,N,01,05,4589,4063,,00000000000000,3553,LEN LANGSTON SWD,018,9.0,II,5,752,,1528,1496,1498,3553,32.788965488658,-93.139419506821
14346,2872,1803529,772543,N,01,05,4589,4063,,00000000000000,3553,LEN LANGSTON SWD,018,9.0,II,5,752,,1528,1496,1498,3553,32.788965488658,-93.139419506821
14347,2872,1803529,772543,N,01,05,4589,4063,,00000000000000,3553,LEN LANGSTON SWD,018,9.0,II,5,752,,1528,1496,1498,3553,32.788965488658,-93.139419506821
43799,2885,1676826,617405,N,01,03,3608,F044,250,17015017730000,3568,HODGES SWD,011,9.0,II,5,0,,4437,1545,1570,3568,32.3598599862029,-93.54678229734921
93808,6313,1570224,781178,N,01,05,2152,0104,210,00000000000000,7900,J H HERNDON SWD,005,9.0,II,5,,,2288,990,1004,7900,32.8066634439645,-93.898829542592
56693,7318,2055468,418943,N,01,05,9031,D118,435,00000000000000,9179,S TULLOS SWD,004,9.0,II,5,0,,1580,1530,1550,9179,31.818460975678395,-92.321565634683
56694,7318,2055468,418943,N,01,05,9031,D118,435,00000000000000,9179,S TULLOS SWD,004,9.0,II,5,0,,1580,1530,1550,9179,31.818460975678395,-92.321565634683
56695,7318,2055468,418943,N,01,05,9031,D118,435,00000000000000,9179,S TULLOS SWD,004,9.0,II,5,0,,1580,1530,1550,9179,31.818460975678395,-92.321565634683
55034,7482,2051380,419649,N,01,05,9031,3525,,00000000000000,9368,TULLOS H SWD,002,9.0,II,5,0,,1073,1018,1028,9368,31.820419646493896,-92.33472382273389
55035,7482,2051380,419649,N,01,05,9031,3525,,00000000000000,9368,TULLOS H SWD,002,9.0,II,5,0,,1073,1018,1028,9368,31.820419646493896,-92.33472382273389
55036,7482,2051380,419649,N,01,05,9031,3525,,00000000000000,9368,TULLOS H SWD,002,9.0,II,5,0,,1073,1018,1028,9368,31.820419646493896,-92.33472382273389
52780,7777,2063243,431987,N,01,05,9031,T040,680,17059881200000,9715,URANIA B SWD,016,9.0,II,5,0,,1232,1000,1015,9715,31.854281906641898,-92.2964549081291
57371,8238,2064535,423364,N,01,03,9031,3525,615,17059004900000,10264,URANIA M SWD,007,9.0,II,5,1315,,1574,1104,1114,10264,31.830570119829996,-92.29234658653141
57372,8238,2064535,423364,N,01,03,9031,3525,615,17059004900000,10264,URANIA M SWD,007,9.0,II,5,1315,,1574,1104,1114,10264,31.830570119829996,-92.29234658653141
56340,8251,2050796,416960,N,01,05,9031,F132,100,17059033520000,10281,PENDARVIS A SWD,003,9.0,II,5,1310,,1527,1506,1527,10281,31.8130298571413,-92.3366170744792
56341,8251,2050796,416960,N,01,05,9031,F132,100,17059033520000,10281,PENDARVIS A SWD,003,9.0,II,5,1310,,1527,1506,1527,10281,31.8130298571413,-92.3366170744792
103231,8554,1555022,764738,N,01,05,2152,C426,200,17017112370000,10639,MUSLOW SWD,003,9.0,II,5,0,,1690,830,839,10639,32.7609361497962,-93.94758278299679
103232,8554,1555022,764738,N,01,05,2152,C426,200,17017112370000,10639,MUSLOW SWD,003,9.0,II,5,0,,1690,830,839,10639,32.7609361497962,-93.94758278299679
57236,8915,2063236,422750,N,01,05,9031,3525,625,00000000000000,11080,URANIA M SWD,010,9.0,II,5,1355,,1558,1086,1096,11080,31.8288889797825,-92.29653305861929
57237,8915,2063236,422750,N,01,05,9031,3525,625,00000000000000,11080,URANIA M SWD,010,9.0,II,5,1355,,1558,1086,1096,11080,31.8288889797825,-92.29653305861929
19343,10062,2109834,691200,N,01,05,6824,4847,,17073009010000,12974,CHARLES G WALL SWD,002,9.0,II,5,0,,2186,2178,2188,12974,32.5664840233282,-92.143647470434
19344,10062,2109834,691200,N,01,05,6824,4847,,17073009010000,12974,CHARLES G WALL SWD,002,9.0,II,5,0,,2186,2178,2188,12974,32.5664840233282,-92.143647470434
24389,10523,2128032,688583,N,01,05,6824,4847,,00000000000000,13609,MRS H A BREARD SWD,002,9.0,II,5,0,,2162,1562,1572,13609,32.5591123591185,-92.08461278174592
128054,13515,1546963,845853,N,01,03,7746,B366,,17017008570000,18858,PITTS SWD,007,9.0,II,5,0,,6095,1615,1743,18858,32.9835386167652,-93.9773889273433
128055,13515,1546963,845853,N,01,03,7746,B366,,17017008570000,18858,PITTS SWD,007,9.0,II,5,0,,6095,1615,1743,18858,32.9835386167652,-93.9773889273433
128056,13515,1546963,845853,N,01,03,7746,B366,,17017008570000,18858,PITTS SWD,007,9.0,II,5,0,,6095,1615,1743,18858,32.9835386167652,-93.9773889273433
128057,13515,1546963,845853,N,01,03,7746,B366,,17017008570000,18858,PITTS SWD,007,9.0,II,5,0,,6095,1615,1743,18858,32.9835386167652,-93.9773889273433
128058,13515,1546963,845853,N,01,03,7746,B366,,17017008570000,18858,PITTS SWD,007,9.0,II,5,0,,6095,1615,1743,18858,32.9835386167652,-93.9773889273433
128059,13515,1546963,845853,N,01,03,7746,B366,,17017008570000,18858,PITTS SWD,007,9.0,II,5,0,,6095,1615,1743,18858,32.9835386167652,-93.9773889273433
19286,13660,1726442,624057,N,01,03,5096,G148,,17013006110000,19109,GSPL BISTINEAU GAS STORAGE,D-3,9.0,II,11-FS,0,,5360,5193,5278,19109,32.3793604765358,-93.3862808438393
127059,13752,1551693,846335,N,01,03,7746,B366,940,17017011330000,19259,N S SPEARMAN SWD,003,9.0,II,5,0,,6175,1710,1762,19259,32.9850393673908,-93.96198879985269
127060,13752,1551693,846335,N,01,03,7746,B366,940,17017011330000,19259,N S SPEARMAN SWD,003,9.0,II,5,0,,6175,1710,1762,19259,32.9850393673908,-93.96198879985269
