,Unnamed: 0,Lambert-X,Lambert-Y,Zone,Coord System,Coord Source,Field ID,Org ID,Area USDW Value,API Num,Serial Num,Well Name,Well Num,Well Status,Class,Class Type,USDW Value,Source Area USDW Value,Measured Depth,Upper Perf,Lower Perf,Well Serial Num,Latitude,Longitude,Leak Risk
63388,31,2202588,647036,N,01,05,7696,U042,,00000000000000,45,LA PETROLEUM CO,001,23.0,,,0,,,0,0,45,32.4439007209496,-91.84345776001751,
62971,230,2163755,793305,N,01,06,6824,H231,,00000000000000,291,NEWBLOCK,001,23.0,,,0,,2490,0,0,291,32.846498693617804,-91.9670001394118,
84088,237,1570677,737205,N,01,05,9715,A155,,00000000000000,298,BALLARD ISLAND OIL&GAS CO,001,23.0,,,0,,2995,0,0,298,32.6858357857163,-93.8955136926392,
17318,304,1832280,487360,N,01,03,9715,C392,,17069000460000,374,FEE,001,23.0,,,0,,4200,0,0,374,32.0055146868435,-93.04123936225679,
92942,422,1570384,778534,N,01,05,2152,T046,,00000000000000,503,CADDO MINERAL LANDS CO,001,28.0,,,0,,2263,0,0,503,32.79940320687761,-93.8981979467046,
96707,501,1565686,776656,N,01,05,9715,F157,,00000000000000,599,HERNDON,003,23.0,,,0,,2252,1610,1680,599,32.794074815847395,-93.9134044978711,
95461,528,1567908,779650,N,01,05,9715,4651,,00000000000000,709,RAINES,002,23.0,,,0,,2254,0,0,709,32.8023820078884,-93.90630138667039,
92515,544,1570634,777870,N,01,05,9715,9999,,00000000000000,726,RAINES,002,28.0,,,0,,2268,0,0,726,32.797587343206104,-93.8973566582205,
95668,672,1567547,779253,N,01,05,9715,M378,,00000000000000,875,RAINES,004,23.0,,,0,,2315,0,0,875,32.801278141985,-93.90745926754671,
86362,773,1567620,740608,N,01,05,9715,P346,,00000000000000,996,DICKSON,005,23.0,,,0,,2316,0,0,996,32.695079298596504,-93.90559153585899,
13169,848,1807360,768598,N,01,05,4589,4063,,17027025260000,1083,G T SHAW,004,33.0,,,0,,1417,0,0,1083,32.778185120921805,-93.1268804583492,
30521,873,2126817,738471,N,01,03,6824,T056,,17111018270000,1113,A SMITH,001,23.0,,,0,,2136,0,0,1113,32.6962412684353,-92.08793994839571,
14753,886,1804811,776665,N,01,05,4589,B382,,00000000000000,1126,HO NAC SU;LOWENBERG 24-A,001,33.0,,,0,,1255,1146,1255,1126,32.8003146131055,-93.1353269006152,
12975,914,1807392,767270,N,01,05,4589,4063,,00000000000000,1156,WILLIAM CHATMAN,003,33.0,,,0,,1360,0,0,1156,32.774535896978,-93.1267513742913,
